epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,479.192,1.71796,1.72843,1.59899,0.36651,0.36304,0.40499,0.18708,1.95617,2.02037,2.07129,0.005743,0.005743,0.005743
45,489.985,1.77997,1.81411,1.65233,0.43659,0.34817,0.37481,0.16736,1.97528,1.90139,2.00819,0.005644,0.005644,0.005644
46,500.225,1.77653,1.7752,1.62553,0.33532,0.41234,0.39926,0.17877,1.94526,1.93553,1.96511,0.005545,0.005545,0.005545
47,510.546,1.70693,1.70329,1.58981,0.47143,0.38388,0.41039,0.19367,1.91127,1.91945,1.94666,0.005446,0.005446,0.005446
48,521.362,1.68842,1.68573,1.56949,0.39028,0.3922,0.4469,0.2134,1.90482,1.90324,1.96076,0.005347,0.005347,0.005347
49,532.245,1.71806,1.6927,1.58935,0.45027,0.49973,0.51832,0.24971,1.91044,1.84455,1.9695,0.005248,0.005248,0.005248
50,543.009,1.68135,1.61621,1.55365,0.34669,0.3386,0.35335,0.162,1.89739,2.33298,2.0047,0.005149,0.005149,0.005149
51,553.672,1.67497,1.61909,1.55235,0.4122,0.38515,0.38636,0.18773,1.83067,1.89919,1.92499,0.00505,0.00505,0.00505
52,563.472,1.665,1.64807,1.55043,0.41355,0.45597,0.46538,0.21731,1.87408,1.8019,1.95318,0.004951,0.004951,0.004951
53,574.031,1.68494,1.63347,1.57491,0.46973,0.44821,0.47904,0.21079,1.92859,1.93232,1.97196,0.004852,0.004852,0.004852
54,584.828,1.67865,1.66954,1.56847,0.33185,0.56986,0.4695,0.22341,1.99215,1.96889,2.03674,0.004753,0.004753,0.004753
55,595.661,1.69367,1.63997,1.5532,0.53828,0.38978,0.4493,0.2147,2.01025,1.75807,2.03819,0.004654,0.004654,0.004654
56,606.425,1.64784,1.60831,1.51844,0.46346,0.53174,0.53195,0.25623,1.81528,1.85055,1.90717,0.004555,0.004555,0.004555
57,616.136,1.70011,1.65018,1.56259,0.35753,0.46218,0.44899,0.21617,1.77948,2.09549,1.92728,0.004456,0.004456,0.004456
58,626.679,1.6209,1.56118,1.50145,0.49113,0.51537,0.45318,0.2209,1.93986,1.70716,2.00358,0.004357,0.004357,0.004357
59,637.308,1.65028,1.53677,1.52514,0.42444,0.42648,0.45574,0.22568,1.8112,1.76049,1.93317,0.004258,0.004258,0.004258
60,648.115,1.61176,1.51327,1.52013,0.30763,0.71336,0.49663,0.22832,1.88844,1.77721,2.01245,0.004159,0.004159,0.004159
61,658.876,1.62565,1.52299,1.53076,0.42288,0.61883,0.48549,0.23942,1.85612,1.9835,1.9657,0.00406,0.00406,0.00406
62,669.147,1.64795,1.62179,1.52909,0.46819,0.44593,0.45122,0.22598,1.81597,1.84943,1.97768,0.003961,0.003961,0.003961
63,679.35,1.62378,1.5958,1.51811,0.53303,0.48111,0.47442,0.23388,1.88602,1.7326,1.94315,0.003862,0.003862,0.003862
64,690.062,1.63548,1.5107,1.52578,0.48006,0.67044,0.51038,0.25042,1.77847,1.77847,1.87964,0.003763,0.003763,0.003763
65,700.76,1.61273,1.52501,1.52735,0.61477,0.50839,0.56515,0.2887,1.77772,1.64485,1.90145,0.003664,0.003664,0.003664
66,711.537,1.61169,1.54309,1.5246,0.41212,0.553,0.47122,0.22737,1.75961,1.8051,1.8979,0.003565,0.003565,0.003565
67,722.205,1.58339,1.52744,1.51557,0.46864,0.48192,0.49105,0.24386,1.77561,1.95071,1.90353,0.003466,0.003466,0.003466
